t_csv,t_corrected,x_csv,y_csv,x_pred,y_pred,resid_x,resid_y,resid_t,x_pred_rounded,y_pred_rounded,x_match,y_match,xy_match,l1_distance,difference_sq
6.049405439,6.049405435,59.657204,46.032295,59.65720356,46.03229588,-4.37E-07,8.77E-07,-3.99E-09,59.657204,46.032296,TRUE,FALSE,FALSE,1.31E-06,1.00E-12
6.133475979,6.133475977,59.73239,46.07021,59.73238922,46.07021158,-7.80E-07,1.58E-06,-2.25E-09,59.73239,46.07021,TRUE,TRUE,TRUE,2.36E-06,0
6.207523229,6.207523224,59.79893,46.103054,59.79892989,46.10305424,-1.05E-07,2.39E-07,-5.02E-09,59.79893,46.103054,TRUE,TRUE,TRUE,3.45E-07,0
6.252368695,6.252368693,59.839375,46.122692,59.83937447,46.12269311,-5.26E-07,1.11E-06,-2.79E-09,59.839374,46.122693,FALSE,FALSE,FALSE,1.63E-06,2.00E-12
6.255269234,6.255269233,59.841995,46.123955,59.84199415,46.12395678,-8.54E-07,1.78E-06,-1.07E-09,59.841994,46.123957,FALSE,FALSE,FALSE,2.64E-06,5.00E-12
6.262016108,6.262016106,59.84809,46.126892,59.84808947,46.12689311,-5.26E-07,1.11E-06,-2.75E-09,59.84809,46.126893,TRUE,FALSE,FALSE,1.64E-06,1.00E-12
6.40553969,6.405539679,59.97834,46.18834,59.97834076,46.1883384,7.59E-07,-1.60E-06,-1.05E-08,59.97834,46.18834,TRUE,TRUE,TRUE,2.36E-06,0
6.497813346,6.497813349,60.062675,46.226814,60.06267388,46.22681648,-1.12E-06,2.48E-06,2.73E-09,60.062674,46.226816,FALSE,FALSE,FALSE,3.59E-06,5.00E-12
6.552861323,6.552861316,60.113205,46.24939,60.11320517,46.24938965,1.67E-07,-3.45E-07,-6.83E-09,60.113205,46.24939,TRUE,TRUE,TRUE,5.12E-07,0
6.576200908,6.576200907,60.13468,46.258873,60.1346794,46.25887437,-5.98E-07,1.37E-06,-6.43E-10,60.13468,46.258874,TRUE,FALSE,FALSE,1.97E-06,1.00E-12
